company,year,quarter,file,metric,value,source
apple,2020,annual,apple_2020_annual_table14.csv,net_income,57411.0,row
apple,2020,annual,apple_2020_annual_table19.csv,eps,3.31,row
apple,2020,annual,apple_2020_annual_table19.csv,eps,3.28,row
apple,2020,annual,apple_2020_annual_table3.csv,total_assets,323888.0,row
apple,2020,annual,apple_2020_annual_table46.csv,operating_income,37722.0,row
apple,2020,annual,apple_2020_annual_table46.csv,revenue,68640.0,row
apple,2020,annual,apple_2020_annual_table46.csv,operating_income,22170.0,row
apple,2020,annual,apple_2020_annual_table46.csv,revenue,40308.0,row
apple,2020,annual,apple_2020_annual_table46.csv,operating_income,15261.0,row
apple,2020,annual,apple_2020_annual_table46.csv,revenue,21418.0,row
apple,2020,annual,apple_2020_annual_table46.csv,operating_income,9279.0,row
apple,2020,annual,apple_2020_annual_table46.csv,revenue,19593.0,row
apple,2020,annual,apple_2020_annual_table46.csv,operating_income,6055.0,row
apple,2020,Q2,apple_2020_Q2_table27.csv,operating_income,7974.0,row
apple,2020,Q2,apple_2020_Q2_table27.csv,revenue,14173.0,row
apple,2020,Q2,apple_2020_Q2_table27.csv,operating_income,4420.0,row
apple,2020,Q2,apple_2020_Q2_table27.csv,revenue,9329.0,row
apple,2020,Q2,apple_2020_Q2_table27.csv,operating_income,3414.0,row
apple,2020,Q2,apple_2020_Q2_table27.csv,revenue,4966.0,row
apple,2020,Q2,apple_2020_Q2_table27.csv,operating_income,2114.0,row
apple,2020,Q2,apple_2020_Q2_table27.csv,revenue,4199.0,row
apple,2020,Q2,apple_2020_Q2_table27.csv,operating_income,1374.0,row
apple,2020,Q2,apple_2020_Q2_table28.csv,operating_income,15785.0,row
apple,2020,Q2,apple_2020_Q2_table28.csv,revenue,27306.0,row
apple,2020,Q2,apple_2020_Q2_table28.csv,operating_income,9589.0,row
apple,2020,Q2,apple_2020_Q2_table28.csv,revenue,21313.0,row
apple,2020,Q2,apple_2020_Q2_table28.csv,operating_income,8530.0,row
apple,2020,Q2,apple_2020_Q2_table28.csv,revenue,8285.0,row
apple,2020,Q2,apple_2020_Q2_table28.csv,operating_income,3503.0,row
apple,2020,Q2,apple_2020_Q2_table28.csv,revenue,8225.0,row
apple,2020,Q2,apple_2020_Q2_table28.csv,operating_income,2953.0,row
apple,2020,Q2,apple_2020_Q2_table7.csv,eps,1.7,row
apple,2020,Q2,apple_2020_Q2_table7.csv,eps,1.68,row
apple,2021,Q1,apple_2021_Q1_table29.csv,operating_income,12050.0,row
apple,2021,Q1,apple_2021_Q1_table29.csv,revenue,22264.0,row
apple,2021,Q1,apple_2021_Q1_table29.csv,operating_income,8265.0,row
apple,2021,Q1,apple_2021_Q1_table29.csv,revenue,17728.0,row
apple,2021,Q1,apple_2021_Q1_table29.csv,operating_income,7758.0,row
apple,2021,Q1,apple_2021_Q1_table29.csv,revenue,7742.0,row
apple,2021,Q1,apple_2021_Q1_table29.csv,operating_income,3428.0,row
apple,2021,Q1,apple_2021_Q1_table29.csv,revenue,7544.0,row
apple,2021,Q1,apple_2021_Q1_table29.csv,operating_income,2736.0,row
apple,2021,Q1,apple_2021_Q1_table7.csv,eps,1.41,row
apple,2021,Q1,apple_2021_Q1_table7.csv,eps,1.4,row
apple,2021,Q2,apple_2021_Q2_table19.csv,operating_income,19585.0,row
apple,2021,Q2,apple_2021_Q2_table19.csv,revenue,29749.0,row
apple,2021,Q2,apple_2021_Q2_table19.csv,operating_income,11545.0,row
apple,2021,Q2,apple_2021_Q2_table19.csv,revenue,25783.0,row
apple,2021,Q2,apple_2021_Q2_table19.csv,operating_income,11183.0,row
apple,2021,Q2,apple_2021_Q2_table19.csv,revenue,7107.0,row
apple,2021,Q2,apple_2021_Q2_table19.csv,operating_income,3349.0,row
apple,2021,Q2,apple_2021_Q2_table19.csv,revenue,9810.0,row
apple,2021,Q2,apple_2021_Q2_table19.csv,operating_income,3995.0,row
apple,2021,Q2,apple_2021_Q2_table29.csv,operating_income,12916.0,row
apple,2021,Q2,apple_2021_Q2_table29.csv,revenue,18943.0,row
apple,2021,Q2,apple_2021_Q2_table29.csv,operating_income,7085.0,row
apple,2021,Q2,apple_2021_Q2_table29.csv,revenue,14762.0,row
apple,2021,Q2,apple_2021_Q2_table29.csv,operating_income,6303.0,row
apple,2021,Q2,apple_2021_Q2_table29.csv,revenue,6464.0,row
apple,2021,Q2,apple_2021_Q2_table29.csv,operating_income,3031.0,row
apple,2021,Q2,apple_2021_Q2_table29.csv,revenue,5395.0,row
apple,2021,Q2,apple_2021_Q2_table29.csv,operating_income,2116.0,row
apple,2021,Q2,apple_2021_Q2_table7.csv,eps,2.11,row
apple,2021,Q2,apple_2021_Q2_table7.csv,eps,2.1,row
apple,2022,Q1,apple_2022_Q1_table20.csv,operating_income,15279.0,row
apple,2022,Q1,apple_2022_Q1_table20.csv,revenue,23287.0,row
apple,2022,Q1,apple_2022_Q1_table20.csv,operating_income,8505.0,row
apple,2022,Q1,apple_2022_Q1_table20.csv,revenue,18343.0,row
apple,2022,Q1,apple_2022_Q1_table20.csv,operating_income,8112.0,row
apple,2022,Q1,apple_2022_Q1_table20.csv,revenue,7724.0,row
apple,2022,Q1,apple_2022_Q1_table20.csv,operating_income,3496.0,row
apple,2022,Q1,apple_2022_Q1_table20.csv,revenue,7042.0,row
apple,2022,Q1,apple_2022_Q1_table20.csv,operating_income,2823.0,row
apple,2022,Q1,apple_2022_Q1_table7.csv,eps,1.54,row
apple,2022,Q1,apple_2022_Q1_table7.csv,eps,1.52,row
apple,2022,Q2,apple_2022_Q2_table21.csv,operating_income,17864.0,row
apple,2022,Q2,apple_2022_Q2_table21.csv,revenue,27681.0,row
apple,2022,Q2,apple_2022_Q2_table21.csv,operating_income,10017.0,row
apple,2022,Q2,apple_2022_Q2_table21.csv,revenue,23905.0,row
apple,2022,Q2,apple_2022_Q2_table21.csv,operating_income,10437.0,row
apple,2022,Q2,apple_2022_Q2_table21.csv,revenue,6755.0,row
apple,2022,Q2,apple_2022_Q2_table21.csv,operating_income,3236.0,row
apple,2022,Q2,apple_2022_Q2_table21.csv,revenue,9535.0,row
apple,2022,Q2,apple_2022_Q2_table21.csv,operating_income,3851.0,row
apple,2022,Q2,apple_2022_Q2_table7.csv,eps,1.89,row
apple,2022,Q2,apple_2022_Q2_table7.csv,eps,1.88,row
apple,2023,Q1,apple_2023_Q1_table22.csv,operating_income,13927.0,row
apple,2023,Q1,apple_2023_Q1_table22.csv,revenue,23945.0,row
apple,2023,Q1,apple_2023_Q1_table22.csv,operating_income,9368.0,row
apple,2023,Q1,apple_2023_Q1_table22.csv,revenue,17812.0,row
apple,2023,Q1,apple_2023_Q1_table22.csv,operating_income,7531.0,row
apple,2023,Q1,apple_2023_Q1_table22.csv,revenue,7176.0,row
apple,2023,Q1,apple_2023_Q1_table22.csv,operating_income,3394.0,row
apple,2023,Q1,apple_2023_Q1_table22.csv,revenue,8119.0,row
apple,2023,Q1,apple_2023_Q1_table22.csv,operating_income,3268.0,row
